Load,Xray,Bed.Days,Pop,Length.of.Stay,Man.Hours
15.57,2463,472.9,18,4.45,566.5
44.02,2048,1339.8,9.5,6.92,696.8
20.42,3940,620.3,12.8,4.28,1033.2
18.74,6505,568.3,36.7,3.9,1603.6
49.2,5723,1497.6,35.7,5.5,1611.4
44.92,11520,1365.8,24,4.6,1613.3
55.48,5779,1687,43.3,5.62,1854.2
59.28,5969,1639.9,46.7,5.15,2160.6
94.39,8461,2872.3,78.7,6.18,2305.6
128.02,20106,3655.1,180.5,6.15,3503.9
96,13313,2912,60.9,5.88,3571.9
131.42,10771,3921,103.7,4.88,3741.4
127.27,15543,3865.7,126.8,5.5,4026.5
252.9,36194,7684.1,157.7,7,10343.8
409.2,64703,12446.3,169.4,10.78,11732.2
463.7,39204,14098.4,331.4,7.05,15414.9
510.22,86533,15524,371.6,6.35,18854.5
